activity_pga1,activity_pga2,activity_pga3,activity_q1,activity_q2,activity_q3,activity_q4,activity_q5,activity_q6,activity_vid_count,activity_vid_week_1,activity_vid_week_2,activity_vid_week_3,activity_vid_week_4,activity_vid_week_5,activity_vid_week_6,course_platform,course_name,activity_completed,activity_learner,activity_auditor,unique_user_id
0,0,0,0,0,0,0,0,0,110.0,19.0,23.0,33.0,17.0,7.0,9.0,COURSERA,INTRO Fall 2014,0,1,1,25c0568df2c61baf8e90b7fb4bb1a9ba
0,0,0,0,0,0,0,0,0,110.0,19.0,23.0,33.0,17.0,7.0,9.0,COURSERA,INTRO Fall 2014,0,1,1,5b9631d69f9023f5a649ac0f45c0a47a
0,0,0,0,0,0,0,0,0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,9f9f9858d5fd245183067df4e760cb6c
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,d24767f2cba324472d6ba094dabf6406
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,cff8adbaf40f41065a4b25c4339869e2
0,0,0,0,0,0,0,0,0,110.0,19.0,23.0,33.0,17.0,7.0,9.0,COURSERA,INTRO Fall 2014,0,1,1,6ec787047c27133caf1e1bcfe480f740
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,248f94ba57029a631bd96ad1aa09091f
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,883bab9d33ca98e0d78ed2bad713543d
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,7c445ff5fbede1e740774ae998379425
1,1,1,1,1,1,1,1,1,110.0,19.0,23.0,33.0,17.0,7.0,9.0,COURSERA,INTRO Fall 2014,1,1,0,6409e65e10e3f6c7125a967f13e21b02
0,0,0,0,0,0,0,0,0,110.0,19.0,23.0,33.0,17.0,7.0,9.0,COURSERA,INTRO Fall 2014,0,1,1,6c9a640201184745994df6e6cae72555
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,a9610a2a5988b97036b5e55aac6433c6
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,6054f3f81ea5f744ed1647f9f2d817e1
0,0,0,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,1f962a46074c35d1a1c712ea11e2e030
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,1681ed178187327d592af1cd5ddef60d
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,0151554df3798de44ffb87ddf3c1da0a
0,0,0,0,0,0,0,0,0,99.0,19.0,23.0,33.0,17.0,7.0,0.0,COURSERA,INTRO Fall 2014,0,1,1,766ada6eed2e9f726e6d7985dbeba61a
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,4f2b08573a9e46fa3335b6a307c6e0f3
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,b2d60c14a98d0cff6726a8ea9568c566
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,3bf4a585b81feef7d7900bb49dda8de5
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,bff61f05b170cdbbd6670a3986a17dc1
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,ba84ae4287138bcc11c17530fe1ecb41
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,18e39af1bea6d525ae69a951092d20c4
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,e8c98f6e84e452db50616870e948050c
0,0,0,0,0,0,0,0,0,110.0,19.0,23.0,33.0,17.0,7.0,9.0,COURSERA,INTRO Fall 2014,0,1,1,195b1264780b64ac125d0e1190cd18ea
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,e32e5d3d0bd7ef46a0100f63a8984d31
0,0,0,0,0,0,0,0,0,23.0,19.0,1.0,1.0,0.0,0.0,1.0,COURSERA,INTRO Fall 2014,0,0,0,41eb6a01a01ded5a70174eae8662710a
0,0,0,0,0,0,0,0,0,110.0,19.0,23.0,33.0,17.0,7.0,9.0,COURSERA,INTRO Fall 2014,0,1,1,703be418ba2daf2dbc5d9720a31828eb
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,e298e5715c37fe4e6182df4f9449cd7f
0,0,0,0,0,0,0,0,0,110.0,19.0,23.0,33.0,17.0,7.0,9.0,COURSERA,INTRO Fall 2014,0,1,1,919d5d5e5d5103d31c0dbf843001e92f
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,069835298e3b49f5dc21603604f8f44a
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,7ababe2c337a439e570a5fe7961dc35f
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,dfaf0cbb3d07b85fc33c606c2f44ed36
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,5300ce5ea20338f40f6778bdd2629f40
0,0,0,0,0,0,0,0,0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,cec6c9aa567cf97095a5da4bb6e6d21a
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,06daa65f178f25345ce40c6cd4ef4160
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,9b02780996dd734060b2344f4dfbbe8e
0,0,0,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,eac61273a97e3c6f39b498a3627a35cc
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,39bab263849239a1e465448e18aea60f
0,0,0,0,0,0,0,0,0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,4aa77e90c8c8efedabb256705a6beb30
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,280e5bc629f4272b3e5c9c06bc9e15fb
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,9b848237b846c76fb28a93bf2fff086d
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,a5d3fbb02e5b539c916394a799663a3d
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,3cca480724d3f631485a524cc77de86f
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,283b5a416896ae4f9c6e697882e63edc
